#************************************************************************
# 
#    These are data from the COMPASS Collaboration.
#    
#    
#    
# 
#    
# 
#    C. Adolph et al, arXiv:1305.7317 [hep-ex]
# 
#************************************************************************
# 
# h+ multiplicities from COMPASS
# 
# Target: Deuteron (Li6)
# 
#
#  i          mult              stat (+/-)              syst (+/-)              Q2      x         z           Php
 200  1.647676E-01  1.877099E-02  8.238378E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.042833E+00
 201  1.771982E-01  1.898552E-02  8.859910E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.054751E+00
 202  1.343836E-01  1.642466E-02  6.719180E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.066536E+00
 203  1.293832E-01  1.617289E-02  6.469158E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.078193E+00
 204  1.499461E-01  1.787149E-02  7.497306E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.089725E+00
 205  1.123158E-01  1.519567E-02  5.615792E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.101136E+00
 206  1.323791E-01  1.668645E-02  6.618957E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.112430E+00
 207  1.620246E-01  1.842721E-02  8.101230E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.123610E+00
 208  1.300344E-01  1.656634E-02  6.501720E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.134681E+00
 209  3.870634E-01  7.155418E-03  1.935317E-02  1.110000E+00  5.200000E-03  4.500000E-01  1.118034E-01
 210  5.050370E-01  1.084435E-02  2.525185E-02  1.110000E+00  5.200000E-03  4.500000E-01  1.936492E-01
 211  6.150000E-01  1.350000E-02  3.075000E-02  1.110000E+00  5.200000E-03  4.500000E-01  2.500000E-01
 212  6.856736E-01  1.538181E-02  3.428368E-02  1.110000E+00  5.200000E-03  4.500000E-01  2.958040E-01
 213  7.640644E-01  1.744133E-02  3.820322E-02  1.110000E+00  5.200000E-03  4.500000E-01  3.354102E-01
 214  7.653517E-01  1.779888E-02  3.826758E-02  1.110000E+00  5.200000E-03  4.500000E-01  3.708099E-01
 215  7.070600E-01  1.773697E-02  3.535300E-02  1.110000E+00  5.200000E-03  4.500000E-01  4.031129E-01
 216  7.127389E-01  1.905256E-02  3.563695E-02  1.110000E+00  5.200000E-03  4.500000E-01  4.330127E-01
 217  6.813243E-01  1.936104E-02  3.406622E-02  1.110000E+00  5.200000E-03  4.500000E-01  4.609772E-01
 218  6.374404E-01  1.851891E-02  3.187202E-02  1.110000E+00  5.200000E-03  4.500000E-01  4.873397E-01
 219  6.424838E-01  1.946921E-02  3.212419E-02  1.110000E+00  5.200000E-03  4.500000E-01  5.123475E-01
 220  5.973160E-01  1.930285E-02  2.986580E-02  1.110000E+00  5.200000E-03  4.500000E-01  5.361903E-01
 221  5.556629E-01  1.900658E-02  2.778314E-02  1.110000E+00  5.200000E-03  4.500000E-01  5.590170E-01
 222  5.344717E-01  1.859032E-02  2.672359E-02  1.110000E+00  5.200000E-03  4.500000E-01  5.809475E-01
 223  4.973179E-01  1.806239E-02  2.486589E-02  1.110000E+00  5.200000E-03  4.500000E-01  6.020797E-01
 224  4.818111E-01  1.867485E-02  2.409056E-02  1.110000E+00  5.200000E-03  4.500000E-01  6.224950E-01
 225  4.598593E-01  1.798333E-02  2.299297E-02  1.110000E+00  5.200000E-03  4.500000E-01  6.422616E-01
 226  4.563921E-01  1.852026E-02  2.281961E-02  1.110000E+00  5.200000E-03  4.500000E-01  6.614378E-01
