#************************************************************************
# 
#    These are data from the COMPASS Collaboration.
#    
#    
#    
# 
#    
# 
#    C. Adolph et al, arXiv:1305.7317 [hep-ex]
# 
#************************************************************************
# 
# h- multiplicities from COMPASS
# 
# Target: Deuteron (Li6)
# 
#
#  i          mult              stat (+/-)              syst (+/-)              Q2      x         z           Php
 166  9.181480E-01  3.118974E-02  4.590740E-02  1.110000E+00  5.200000E-03  3.750000E-01  4.873397E-01
 167  9.734603E-01  3.279024E-02  4.867302E-02  1.110000E+00  5.200000E-03  3.750000E-01  5.123475E-01
 168  8.954377E-01  3.217142E-02  4.477189E-02  1.110000E+00  5.200000E-03  3.750000E-01  5.361903E-01
 169  8.206369E-01  3.130495E-02  4.103185E-02  1.110000E+00  5.200000E-03  3.750000E-01  5.590170E-01
 170  7.645269E-01  3.137117E-02  3.822635E-02  1.110000E+00  5.200000E-03  3.750000E-01  5.809475E-01
 171  7.224957E-01  3.130815E-02  3.612478E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.020797E-01
 172  6.722946E-01  2.987976E-02  3.361473E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.224950E-01
 173  6.910735E-01  3.082856E-02  3.455368E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.422616E-01
 174  5.873568E-01  2.910326E-02  2.936784E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.614378E-01
 175  6.039053E-01  2.992324E-02  3.019526E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.800735E-01
 176  5.669481E-01  2.932490E-02  2.834741E-02  1.110000E+00  5.200000E-03  3.750000E-01  6.982120E-01
 177  5.684175E-01  2.863564E-02  2.842087E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.158911E-01
 178  5.381276E-01  2.785947E-02  2.690638E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.331439E-01
 179  4.515000E-01  2.700000E-02  2.257500E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.500000E-01
 180  4.614243E-01  2.759348E-02  2.307121E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.664855E-01
 181  4.085296E-01  2.504396E-02  2.042648E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.826238E-01
 182  4.119930E-01  2.554995E-02  2.059965E-02  1.110000E+00  5.200000E-03  3.750000E-01  7.984360E-01
 183  3.532504E-01  2.441823E-02  1.766252E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.139410E-01
 184  3.847285E-01  2.487469E-02  1.923642E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.291562E-01
 185  2.954340E-01  2.194653E-02  1.477170E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.440972E-01
 186  3.143128E-01  2.404579E-02  1.571564E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.587782E-01
 187  2.899065E-01  2.270352E-02  1.449533E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.732125E-01
 188  3.070445E-01  2.307271E-02  1.535223E-02  1.110000E+00  5.200000E-03  3.750000E-01  8.874120E-01
 189  2.704163E-01  2.163331E-02  1.352082E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.013878E-01
 190  2.928481E-01  2.379391E-02  1.464240E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.151503E-01
 191  2.303198E-01  2.043159E-02  1.151599E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.287088E-01
 192  2.468229E-01  2.072559E-02  1.234115E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.420722E-01
 193  2.540961E-01  2.292597E-02  1.270481E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.552487E-01
 194  2.226965E-01  2.130141E-02  1.113483E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.682458E-01
 195  2.217220E-01  2.158356E-02  1.108610E-02  1.110000E+00  5.200000E-03  3.750000E-01  9.810708E-01
 196  1.927837E-01  1.987461E-02  9.639184E-03  1.110000E+00  5.200000E-03  3.750000E-01  9.937303E-01
 197  1.650218E-01  1.811215E-02  8.251091E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.006231E+00
 198  1.772325E-01  1.833439E-02  8.861624E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.018577E+00
 199  1.432779E-01  1.669858E-02  7.163896E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.030776E+00
 200  1.877099E-01  1.877099E-02  9.385494E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.042833E+00
 201  1.582127E-01  1.898552E-02  7.910634E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.054751E+00
 202  1.341703E-01  1.685128E-02  6.708514E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.066536E+00
 203  1.237765E-01  1.617289E-02  6.188827E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.078193E+00
 204  1.152929E-01  1.547409E-02  5.764644E-03  1.110000E+00  5.200000E-03  3.750000E-01  1.089725E+00
