x                        Q2                 y       z                  PhT^2              Mult        
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.72 [0.68-0.76)   0.5335 +- 0.0350 +- 0.1055
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.81 [0.76-0.87)   0.3426 +- 0.0215 +- 0.1067
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   0.94 [0.87-1.00)   0.2840 +- 0.0195 +- 0.1108
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   1.06 [1.00-1.12)   0.1991 +- 0.0163 +- 0.1202
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   1.18 [1.12-1.24)   0.1409 +- 0.0128 +- 0.1278
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   1.31 [1.24-1.38)   0.1119 +- 0.0117 +- 0.1320
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   1.45 [1.38-1.52)   0.0783 +- 0.0091 +- 0.1420
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   1.60 [1.52-1.68)   0.0704 +- 0.0082 +- 0.1467
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   1.77 [1.68-1.85)   0.0470 +- 0.0065 +- 0.1602
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   1.95 [1.85-2.05)   0.0468 +- 0.0062 +- 0.1577
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   2.20 [2.05-2.35)   0.0263 +- 0.0038 +- 0.1728
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   2.50 [2.35-2.65)   0.0170 +- 0.0026 +- 0.1803
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.20 [0.20-0.30)   2.83 [2.65-3.00)   0.0176 +- 0.0029 +- 0.1904
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.16 [0.14-0.17)   4.7325 +- 0.0954 +- 0.0958
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.18 [0.17-0.20)   4.1741 +- 0.0974 +- 0.0978
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.21 [0.20-0.23)   3.6100 +- 0.0768 +- 0.0998
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.25 [0.23-0.27)   3.1081 +- 0.0680 +- 0.1028
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.29 [0.27-0.30)   2.6658 +- 0.0732 +- 0.1060
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.32 [0.30-0.35)   2.2519 +- 0.0512 +- 0.1083
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.38 [0.35-0.40)   1.8354 +- 0.0454 +- 0.1118
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.43 [0.40-0.46)   1.4844 +- 0.0379 +- 0.1158
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.49 [0.46-0.52)   1.1472 +- 0.0331 +- 0.1205
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.56 [0.52-0.60)   0.8622 +- 0.0248 +- 0.1262
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.64 [0.60-0.68)   0.6921 +- 0.0223 +- 0.1328
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.72 [0.68-0.76)   0.5172 +- 0.0187 +- 0.1388
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.81 [0.76-0.87)   0.3610 +- 0.0133 +- 0.1466
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   0.94 [0.87-1.00)   0.2734 +- 0.0107 +- 0.1540
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   1.06 [1.00-1.12)   0.1869 +- 0.0093 +- 0.1652
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   1.18 [1.12-1.24)   0.1407 +- 0.0080 +- 0.1758
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   1.31 [1.24-1.38)   0.1019 +- 0.0059 +- 0.1859
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   1.45 [1.38-1.52)   0.0817 +- 0.0054 +- 0.1991
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   1.60 [1.52-1.68)   0.0569 +- 0.0042 +- 0.2118
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   1.77 [1.68-1.85)   0.0441 +- 0.0037 +- 0.2239
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   1.95 [1.85-2.05)   0.0304 +- 0.0027 +- 0.2391
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   2.20 [2.05-2.35)   0.0226 +- 0.0020 +- 0.2633
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   2.50 [2.35-2.65)   0.0148 +- 0.0017 +- 0.2858
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.20 [0.20-0.30)   2.83 [2.65-3.00)   0.0102 +- 0.0012 +- 0.3127
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.11 [0.10-0.12)   6.3571 +- 0.1007 +- 0.0882
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.13 [0.12-0.14)   5.9058 +- 0.0980 +- 0.0891
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.16 [0.14-0.17)   5.2267 +- 0.0751 +- 0.0912
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.18 [0.17-0.20)   4.5806 +- 0.0777 +- 0.0937
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.21 [0.20-0.23)   3.9552 +- 0.0631 +- 0.0960
