x                        Q2                 y       z                  PhT^2              Mult         
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.05 [0.04-0.06)   0.2494 +- 0.0303 +- 0.1107
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.07 [0.06-0.08)   0.2463 +- 0.0318 +- 0.1146
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.09 [0.08-0.10)   0.2515 +- 0.0329 +- 0.1153
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.11 [0.10-0.12)   0.1898 +- 0.0292 +- 0.1290
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.13 [0.12-0.14)   0.1859 +- 0.0270 +- 0.1236
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.16 [0.14-0.17)   0.2193 +- 0.0255 +- 0.1069
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.18 [0.17-0.20)   0.1729 +- 0.0259 +- 0.1262
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.21 [0.20-0.23)   0.1299 +- 0.0175 +- 0.1175
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.25 [0.23-0.27)   0.1429 +- 0.0165 +- 0.1059
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.29 [0.27-0.30)   0.1106 +- 0.0165 +- 0.1244
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.32 [0.30-0.35)   0.1469 +- 0.0164 +- 0.1023
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.38 [0.35-0.40)   0.0988 +- 0.0136 +- 0.1174
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.43 [0.40-0.46)   0.0933 +- 0.0110 +- 0.1054
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.49 [0.46-0.52)   0.0973 +- 0.0120 +- 0.1078
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.56 [0.52-0.60)   0.0717 +- 0.0089 +- 0.1079
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.64 [0.60-0.68)   0.0767 +- 0.0090 +- 0.1039
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.72 [0.68-0.76)   0.0720 +- 0.0101 +- 0.1176
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.81 [0.76-0.87)   0.0542 +- 0.0077 +- 0.1182
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   0.94 [0.87-1.00)   0.0533 +- 0.0056 +- 0.0961
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   1.06 [1.00-1.12)   0.0379 +- 0.0063 +- 0.1317
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   1.18 [1.12-1.24)   0.0274 +- 0.0042 +- 0.1232
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   1.31 [1.24-1.38)   0.0223 +- 0.0037 +- 0.1303
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   1.45 [1.38-1.52)   0.0284 +- 0.0060 +- 0.1584
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   1.60 [1.52-1.68)   0.0166 +- 0.0035 +- 0.1588
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   1.77 [1.68-1.85)   0.0133 +- 0.0031 +- 0.1725
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   1.95 [1.85-2.05)   0.0055 +- 0.0011 +- 0.1539
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   2.20 [2.05-2.35)   0.0085 +- 0.0014 +- 0.1271
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   2.50 [2.35-2.65)   0.0051 +- 0.0010 +- 0.1414
0.0455 [0.0320-0.0550)    8.3 [7.0-16.0)   0.618   0.60 [0.60-0.80)   2.83 [2.65-3.00)   0.0034 +- 0.0008 +- 0.1685
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.03 [0.02-0.04)   0.2652 +- 0.0182 +- 0.0929
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.05 [0.04-0.06)   0.2563 +- 0.0176 +- 0.0933
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.07 [0.06-0.08)   0.2449 +- 0.0185 +- 0.0965
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.09 [0.08-0.10)   0.2752 +- 0.0199 +- 0.0949
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.11 [0.10-0.12)   0.2321 +- 0.0173 +- 0.0956
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.13 [0.12-0.14)   0.2144 +- 0.0171 +- 0.0984
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.16 [0.14-0.17)   0.2100 +- 0.0135 +- 0.0912
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.18 [0.17-0.20)   0.1823 +- 0.0131 +- 0.0935
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.21 [0.20-0.23)   0.1832 +- 0.0121 +- 0.0918
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.25 [0.23-0.27)   0.1729 +- 0.0111 +- 0.0911
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.29 [0.27-0.30)   0.1534 +- 0.0115 +- 0.0946
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.32 [0.30-0.35)   0.1536 +- 0.0093 +- 0.0892
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.38 [0.35-0.40)   0.1306 +- 0.0089 +- 0.0920
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.43 [0.40-0.46)   0.1140 +- 0.0071 +- 0.0898
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.49 [0.46-0.52)   0.1072 +- 0.0070 +- 0.0908
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.56 [0.52-0.60)   0.0951 +- 0.0058 +- 0.0888
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.64 [0.60-0.68)   0.0830 +- 0.0054 +- 0.0903
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.72 [0.68-0.76)   0.0684 +- 0.0049 +- 0.0931
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.81 [0.76-0.87)   0.0574 +- 0.0039 +- 0.0912
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   0.94 [0.87-1.00)   0.0460 +- 0.0033 +- 0.0926
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   1.06 [1.00-1.12)   0.0421 +- 0.0034 +- 0.0957
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   1.18 [1.12-1.24)   0.0304 +- 0.0028 +- 0.1017
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   1.31 [1.24-1.38)   0.0275 +- 0.0025 +- 0.1005
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   1.45 [1.38-1.52)   0.0228 +- 0.0022 +- 0.1026
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   1.60 [1.52-1.68)   0.0176 +- 0.0020 +- 0.1120
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   1.77 [1.68-1.85)   0.0120 +- 0.0015 +- 0.1176
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   1.95 [1.85-2.05)   0.0099 +- 0.0014 +- 0.1290
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   2.20 [2.05-2.35)   0.0076 +- 0.0009 +- 0.1137
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   2.50 [2.35-2.65)   0.0048 +- 0.0008 +- 0.1417
0.0771 [0.0550-0.1000)    9.3 [7.0-16.0)   0.414   0.60 [0.60-0.80)   2.83 [2.65-3.00)   0.0030 +- 0.0005 +- 0.1481
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.03 [0.02-0.04)   0.3553 +- 0.0161 +- 0.0817
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.05 [0.04-0.06)   0.3579 +- 0.0161 +- 0.0814
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.07 [0.06-0.08)   0.3461 +- 0.0159 +- 0.0822
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.09 [0.08-0.10)   0.2925 +- 0.0141 +- 0.0835
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.11 [0.10-0.12)   0.3123 +- 0.0151 +- 0.0834
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.13 [0.12-0.14)   0.3036 +- 0.0149 +- 0.0840
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.16 [0.14-0.17)   0.2654 +- 0.0112 +- 0.0827
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.18 [0.17-0.20)   0.2512 +- 0.0116 +- 0.0839
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.21 [0.20-0.23)   0.2477 +- 0.0106 +- 0.0835
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.25 [0.23-0.27)   0.2232 +- 0.0091 +- 0.0833
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.29 [0.27-0.30)   0.1972 +- 0.0097 +- 0.0861
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.32 [0.30-0.35)   0.1852 +- 0.0073 +- 0.0837
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.38 [0.35-0.40)   0.1749 +- 0.0074 +- 0.0857
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.43 [0.40-0.46)   0.1446 +- 0.0059 +- 0.0854
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.49 [0.46-0.52)   0.1229 +- 0.0056 +- 0.0877
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.56 [0.52-0.60)   0.1118 +- 0.0046 +- 0.0871
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.64 [0.60-0.68)   0.0914 +- 0.0041 +- 0.0893
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.72 [0.68-0.76)   0.0870 +- 0.0042 +- 0.0917
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.81 [0.76-0.87)   0.0616 +- 0.0030 +- 0.0943
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   0.94 [0.87-1.00)   0.0528 +- 0.0026 +- 0.0945
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   1.06 [1.00-1.12)   0.0401 +- 0.0023 +- 0.0987
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   1.18 [1.12-1.24)   0.0341 +- 0.0023 +- 0.1031
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   1.31 [1.24-1.38)   0.0253 +- 0.0018 +- 0.1070
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   1.45 [1.38-1.52)   0.0186 +- 0.0016 +- 0.1135
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   1.60 [1.52-1.68)   0.0143 +- 0.0013 +- 0.1185
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   1.77 [1.68-1.85)   0.0115 +- 0.0011 +- 0.1227
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   1.95 [1.85-2.05)   0.0083 +- 0.0010 +- 0.1334
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   2.20 [2.05-2.35)   0.0054 +- 0.0006 +- 0.1357
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   2.50 [2.35-2.65)   0.0030 +- 0.0004 +- 0.1471
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.60 [0.60-0.80)   2.83 [2.65-3.00)   0.0025 +- 0.0004 +- 0.1633
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.03 [0.02-0.04)   0.4700 +- 0.0303 +- 0.0802
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.05 [0.04-0.06)   0.4154 +- 0.0278 +- 0.0814
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.07 [0.06-0.08)   0.4142 +- 0.0280 +- 0.0821
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.09 [0.08-0.10)   0.3938 +- 0.0274 +- 0.0834
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.11 [0.10-0.12)   0.3499 +- 0.0256 +- 0.0852
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.13 [0.12-0.14)   0.3607 +- 0.0268 +- 0.0859
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.16 [0.14-0.17)   0.3332 +- 0.0210 +- 0.0829
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.18 [0.17-0.20)   0.2829 +- 0.0201 +- 0.0860
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.21 [0.20-0.23)   0.2910 +- 0.0185 +- 0.0837
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.25 [0.23-0.27)   0.2558 +- 0.0156 +- 0.0827
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.29 [0.27-0.30)   0.2264 +- 0.0170 +- 0.0889
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.32 [0.30-0.35)   0.2067 +- 0.0125 +- 0.0839
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.38 [0.35-0.40)   0.1907 +- 0.0121 +- 0.0861
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.43 [0.40-0.46)   0.1538 +- 0.0094 +- 0.0865
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.49 [0.46-0.52)   0.1470 +- 0.0096 +- 0.0890
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.56 [0.52-0.60)   0.1230 +- 0.0079 +- 0.0903
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.64 [0.60-0.68)   0.1094 +- 0.0075 +- 0.0948
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.72 [0.68-0.76)   0.0827 +- 0.0062 +- 0.0976
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.81 [0.76-0.87)   0.0648 +- 0.0049 +- 0.0998
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   0.94 [0.87-1.00)   0.0475 +- 0.0036 +- 0.1032
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   1.06 [1.00-1.12)   0.0328 +- 0.0032 +- 0.1141
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   1.18 [1.12-1.24)   0.0294 +- 0.0034 +- 0.1237
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   1.31 [1.24-1.38)   0.0216 +- 0.0027 +- 0.1318
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   1.45 [1.38-1.52)   0.0154 +- 0.0022 +- 0.1426
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   1.60 [1.52-1.68)   0.0123 +- 0.0017 +- 0.1453
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   1.77 [1.68-1.85)   0.0080 +- 0.0016 +- 0.1791
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   1.95 [1.85-2.05)   0.0038 +- 0.0009 +- 0.1949
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   2.20 [2.05-2.35)   0.0032 +- 0.0009 +- 0.2343
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   2.50 [2.35-2.65)   0.0019 +- 0.0005 +- 0.2190
0.2544 [0.2100-0.4000)   11.0 [7.0-16.0)   0.146   0.60 [0.60-0.80)   2.83 [2.65-3.00)   0.0007 +- 0.0003 +- 0.3066
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.03 [0.02-0.04)   0.2661 +- 0.0257 +- 0.0963
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.05 [0.04-0.06)   0.2366 +- 0.0255 +- 0.1027
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.07 [0.06-0.08)   0.2377 +- 0.0236 +- 0.0980
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.09 [0.08-0.10)   0.2549 +- 0.0262 +- 0.1006
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.11 [0.10-0.12)   0.2301 +- 0.0264 +- 0.1084
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.13 [0.12-0.14)   0.2179 +- 0.0248 +- 0.1080
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.16 [0.14-0.17)   0.1953 +- 0.0184 +- 0.0973
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.18 [0.17-0.20)   0.1870 +- 0.0191 +- 0.1001
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.21 [0.20-0.23)   0.1721 +- 0.0164 +- 0.0965
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.25 [0.23-0.27)   0.1721 +- 0.0152 +- 0.0932
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.29 [0.27-0.30)   0.1528 +- 0.0156 +- 0.0987
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.32 [0.30-0.35)   0.1259 +- 0.0113 +- 0.0946
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.38 [0.35-0.40)   0.1270 +- 0.0111 +- 0.0909
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.43 [0.40-0.46)   0.1253 +- 0.0103 +- 0.0896
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.49 [0.46-0.52)   0.0971 +- 0.0097 +- 0.0974
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.56 [0.52-0.60)   0.0756 +- 0.0067 +- 0.0944
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.64 [0.60-0.68)   0.0766 +- 0.0070 +- 0.0956
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.72 [0.68-0.76)   0.0542 +- 0.0064 +- 0.1100
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.81 [0.76-0.87)   0.0471 +- 0.0045 +- 0.0978
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   0.94 [0.87-1.00)   0.0334 +- 0.0038 +- 0.1079
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   1.06 [1.00-1.12)   0.0254 +- 0.0029 +- 0.1094
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   1.18 [1.12-1.24)   0.0236 +- 0.0033 +- 0.1249
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   1.31 [1.24-1.38)   0.0220 +- 0.0028 +- 0.1173
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   1.45 [1.38-1.52)   0.0185 +- 0.0028 +- 0.1333
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   1.60 [1.52-1.68)   0.0114 +- 0.0019 +- 0.1455
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   1.77 [1.68-1.85)   0.0087 +- 0.0016 +- 0.1590
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   1.95 [1.85-2.05)   0.0079 +- 0.0015 +- 0.1582
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   2.20 [2.05-2.35)   0.0045 +- 0.0008 +- 0.1607
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   2.50 [2.35-2.65)   0.0048 +- 0.0010 +- 0.1762
0.0170 [0.0130-0.0200)    3.5 [3.0-7.0)   0.695   0.60 [0.60-0.80)   2.83 [2.65-3.00)   0.0022 +- 0.0005 +- 0.1974
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.03 [0.02-0.04)   0.2724 +- 0.0164 +- 0.0862
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.05 [0.04-0.06)   0.2578 +- 0.0158 +- 0.0887
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.07 [0.06-0.08)   0.2513 +- 0.0160 +- 0.0893
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.09 [0.08-0.10)   0.2483 +- 0.0154 +- 0.0877
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.11 [0.10-0.12)   0.2637 +- 0.0165 +- 0.0874
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.13 [0.12-0.14)   0.2027 +- 0.0144 +- 0.0918
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.16 [0.14-0.17)   0.2216 +- 0.0120 +- 0.0840
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.18 [0.17-0.20)   0.1844 +- 0.0120 +- 0.0884
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.21 [0.20-0.23)   0.1700 +- 0.0099 +- 0.0848
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.25 [0.23-0.27)   0.1714 +- 0.0091 +- 0.0817
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.29 [0.27-0.30)   0.1507 +- 0.0099 +- 0.0858
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.32 [0.30-0.35)   0.1360 +- 0.0072 +- 0.0808
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.38 [0.35-0.40)   0.1161 +- 0.0068 +- 0.0819
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.43 [0.40-0.46)   0.1113 +- 0.0060 +- 0.0801
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.49 [0.46-0.52)   0.0940 +- 0.0055 +- 0.0804
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.56 [0.52-0.60)   0.0851 +- 0.0047 +- 0.0796
0.0260 [0.0200-0.0320)    4.1 [3.0-7.0)   0.534   0.60 [0.60-0.80)   0.64 [0.60-0.68)   0.0661 +- 0.0041 +- 0.0820
